custcode,prodcode,customername,product,productfamily,current_inventory,productusage,kix_loads
001d000000GxWogAAF,01td00000042fbYAAQ,D B Feedyards Inc.                                    ,V5007,SB Plus   ,1.1,0.18,1
001d000000GxWtlAAF,01td0000003afgTAAQ,"Dutch Dakota Dairy, LLC                               ",T6030,OneTrak   ,3.24,0.48,1
001d000000GxWslAAF,01td0000003afgEAAQ,Linn Willow Creek Dairy LLC                    ,T6025,OneTrak   ,1.22,0.81,1
001d000001QLNS6AAP,01t0V0000053K2dQAE,Texico Jerseys LLC               ,T7995,OneTrak   ,3.81,0.79,1
001d000000GxWwkAAF,01td0000003afdTAAQ,Quality Beef Producers LLP                     ,R3000,RAMP      ,2.48,1.56,2
001d000000GxX0hAAF,01td0000003afgOAAQ,"Optima Dairy Texas, LLC                        ",T7030,OneTrak   ,3.98,1.43,1
001d000000GxWxSAAV,01td0000003afdTAAQ,Flint Rock Feeders                                    ,R3000,RAMP      ,1.04,0.59,2
001d000000GxWxTAAV,01td0000003afdTAAQ,Hansford County Feeders LP                            ,R3000,RAMP      ,1.11,1.54,3
001d000000JTa3KAAT,01td0000003afdTAAQ,"Tejas Feeders, Ltd.                            ",R3000,RAMP      ,2.75,0.97,1
001d000000GxWsIAAV,01td0000003affVAAQ,Ohlde Dairy LLC                                ,T6015,OneTrak   ,3.06,0.84,1
001d000000GxWvgAAF,01td0000003afZSAAY,Cactus Feedyard                                       ,V0315,SB Plus   ,1.02,4.84,3
001d000000GxX1eAAF,01td0000003afdTAAQ,Cimarron Feeders                                      ,R3000,RAMP      ,0.92,2.43,4
001d000000JTa1eAAD,01td0000003afdTAAQ,Hartley Feeders                                       ,R3000,RAMP      ,1.25,4.12,3
0010V00002GrJrLQAV,01t0V000005iOgzQAE,Osterkamp Dairy East                           ,T7105,OneTrak   ,4.08,1.74,3
001d000000GxWu6AAF,01td0000003afdYAAQ,Hale Center Feedyard                                  ,R4000,RAMP      ,1.58,2.97,2
001d000000GxWvfAAF,01td0000003afdYAAQ,Frontier Feedyard                                     ,R4000,RAMP      ,1.02,2.68,3
001d000000JTa1eAAD,01t0V00000534sXQAQ,Hartley Feeders                                       ,V0500,SB Plus   ,1.53,5.74,9
