id,account_status_active__c,accountid__c,billingcity,billingcountry,billingpostalcode,billingstate,billingstreet,createddate,customer_type__c,friday_gate_hours__c,gate_hours_count__c,gate_receiving_hours__c,industry,lastmodifieddate,name,non_medicated_yard__c,one_way_miles__c,ownerid,ownership,package_type__c,parentid,payment_term_discount__c,payment_term_discount_prepaid__c,phone,plant_auto_check_out_distance_threshold__c,plant_checkin_time_threshold__c,plant_checkin_time_threshold_too_late__c,plant_checkinout_distance_threshold__c,plant_geolocation__latitude__s,plant_geolocation__longitude__s,plant_loading_time__c,plant_staging_time__c,ports_point_of_entry__c,ports_points_of_entry_country__c,primary_cattle_milk_rm_tool__c,primary_feed_rm_tool__c,primary_rcm__c,primary_round_trip_time__c,primary_service_from_plant__c,rating,receives_multiple_products__c,receiving_hours_24x7__c,recordtypeid,region__c,rm_complete__c,roughage_added_through_box__c,satisfied_w_current_rm__c,saturday_gate_hours__c,scale_instructions__c,service_from_locations__c,shipping_zone__c,shippingcity,shippingcountry,shippingpostalcode,shippingstate,shippingstreet,sic,site,starter_ingredient_cost_bmb__c,starter_ingredient_units__c,starter_ration_storage__c,storage_capacity_st__c,sunday_gate_hours__c,systemmodstamp,thursday_gate_hours__c,tickersymbol,truck_access__c,truck_has_100_ft_turning_radius__c,tuesday_gate_hours__c,type,typical_length_of_rm_months__c,uses_risk_management__c,vox_carrier_id__c,vox_name__c,vox_owner_shipto_id__c,vox_parent_id__c,vox_site_id__c,website,wednesday_gate_hours__c,weights_required__c,who_responsible_for_rm__c,width_of_entrance_off_highway_county_roa__c,x1_measure_of_performance__c,yard_conditions__c
0010V00002C33JzQAJ,TRUE,0010V00002C33JzQAJ,Hereford,USA,79045,TX,5150 Great Plains Drive,3/15/2017 16:22,,1,7,,Beef,12/19/2018 13:31,"Green Plains Cattle Company, LLC",FALSE,57,005d0000000bw81AAA,,,0010V00002LydctQAB,2,,(806) 578-4291,3000,30,,500,,,0.25,0.5,,,,,005d0000004ZwZpAAK,3.57,,,FALSE,FALSE,012d0000000OFTVAA4,Texas,0,,,1,,,7,Hereford,USA,79045,TX,5150 Great Plains Drive,,,,,,,1,12/19/2018 13:31,1,,,FALSE,1,Ship-To,,,,,1.00504E+11,100504,100661,,1,TRUE,,,,
0010V00002C4S8uQAF,TRUE,0010V00002C4S8uQAF,Portales,USA,88130,NM,PO Box 149,4/12/2017 14:32,,1,7,,Dairy,12/19/2018 10:47,W Diamond Dairy,FALSE,53,0050V000006pttIQAQ,,,0010V00002LyoUbQAJ,2,,(575) 760-6864,3000,30,,500,,,0.25,0.5,,,,,005d0000003FCyNAAW,3.43,,,FALSE,FALSE,012d0000000OFTVAA4,Texas,0,,,1,,,8,Portales,USA,88130,NM,729 Roosevelt RD AD,,,,,,,1,12/19/2018 10:47,1,,,FALSE,1,Ship-To,,,,,1.00506E+11,100506,100663,,1,TRUE,,,,
0010V00002C5ct8QAB,TRUE,0010V00002C5ct8QAB,Laverne,USA,73848,OK,RR 1 Box 278,5/10/2017 17:28,,1,7,,Beef,12/19/2018 10:47,Monty Cates - Valley View,FALSE,135,005d0000000bw81AAA,,,0010V00002LyRsCQAV,2,,(580) 527-1295,3000,30,,500,,,0.25,0.5,,,,,005d0000003ZhV9AAK,6.41,,,FALSE,FALSE,012d0000000OFTVAA4,Texas,0,,,1,,,12,Follett,USA,79034,TX,Valley View Road,,,,,,,1,12/19/2018 10:47,1,,,FALSE,1,Ship-To,,,,,11808100665,11808,100665,,1,FALSE,,,,
0010V00002DDFB8QAP,TRUE,0010V00002DDFB8QAP,Morris,USA,56267,MN,26406 470th Ave,6/22/2017 15:40,,1,7,,Dairy,11/26/2018 15:35,Riverview-Dollymount Dairy,FALSE,,005d0000000bw89AAA,,,0010V00002LyNUgQAN,2,,(605) 237-2190,3000,30,,500,,,0.25,0.5,,,,,005d0000003FCyNAAW,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,1,,,7,Wheaton,USA,56296,MN,6150 740th Ave,,,,,,,1,11/26/2018 15:35,1,,,FALSE,1,Ship-To,,,,,11958100666,11958,100666,,1,TRUE,,,,
0010V00002DF2fYQAT,TRUE,0010V00002DF2fYQAT,Hereford,USA,79045,TX,1361 FM 1057,8/4/2017 16:19,,0,0,,Dairy,10/25/2018 12:13,Osterkamp Dairy,FALSE,,005d0000004pnQ7AAI,,,,,,(806) 316-8390,3000,30,,500,,,0.25,0.5,,,,,005d0000003FCyNAAW,,,,FALSE,FALSE,012d0000000OFTVAA4,Texas,0,,,0,,,,,,,,,,,,,,,0,10/25/2018 12:13,0,,,FALSE,0,Owner,,,,,100503,100503,,,0,TRUE,,,,
0010V00002DFN9hQAH,TRUE,0010V00002DFN9hQAH,Dumas,USA,79029,TX,5537 FM 281,8/18/2017 14:16,,1,7,,Dairy,12/19/2018 13:53,Faria Southside 2,FALSE,45,005d0000004pnQ7AAI,,,001d000001wbwkYAAQ,2,,(806) 881-1570,3000,30,,500,,,0.25,0.5,,,,,005d0000003FCyNAAW,3.14,,,FALSE,FALSE,012d0000000OFTVAA4,Texas,0,,,1,,,7,Hart,USA,79043,TX,1970 County Road 622,,,,,,,1,12/19/2018 13:53,1,,,FALSE,1,Ship-To,,,,,1.00083E+11,100083,100669,,1,TRUE,,,,
0010V00002IY3iRQAT,TRUE,0010V00002IY3iRQAT,Paullina,USA,51046,IA,5128 460th St,9/6/2017 14:48,,1,7,,Dairy,12/19/2018 15:20,Roorda Dairy LLC,FALSE,135,0050V000006LjgyQAC,,,0010V00002Ly0ptQAB,2,,,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvSrAAK,7.5,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,1,,,15,Paullina,USA,51046,IA,5128 460th St,,,,,,,1,12/19/2018 15:20,1,,,FALSE,1,Ship-To,,,,,1.00206E+11,100206,100258,,1,TRUE,,,,
0010V00002IZWQWQA5,TRUE,0010V00002IZWQWQA5,Morris,USA,56267,MN,26406 470th Ave,10/30/2017 14:35,,1,7,,Dairy,11/26/2018 15:35,Riverview-Louristan Dairy,FALSE,,005d0000000bw89AAA,,,0010V00002LyNUgQAN,2,,(605) 237-2190,3000,30,,500,,,0.25,0.5,,,,,005d0000003FCyNAAW,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,1,,,,Kerkhoven,USA,56252,MN,6008 90th Ave NE,,,,,,,1,11/26/2018 15:35,1,,,FALSE,1,Ship-To,,,,,11958100677,11958,100677,,1,TRUE,,,,
0010V00002IaNJNQA3,TRUE,0010V00002IaNJNQA3,Portales,USA,88130,NM,2325 S Roosevelt Rd 2,11/30/2017 19:34,,1,7,,Dairy,12/19/2018 10:47,Mathews Dairy-West,FALSE,50,005d0000004pnQ7AAI,,,0010V00002LyojgQAB,2,,(417) 718-2470,3000,30,,500,,,0.25,0.5,,,,,005d0000003FCyNAAW,3.32,,,FALSE,FALSE,012d0000000OFTVAA4,Texas,0,,,1,,,8,Portales,USA,88130,NM,2824 S Roosevelt Rd 2,,,,,,,1,12/19/2018 10:47,1,,,FALSE,1,Ship-To,,,,,1.00499E+11,100499,100679,,1,TRUE,,,,
0010V00002JaulwQAB,TRUE,0010V00002JaulwQAB,Friona,USA,79035,TX,PO Box 844,7/23/2018 19:12,,1,7,,Dairy,12/19/2018 10:47,Leslies Dairy,FALSE,9,0050V000006pttIQAQ,,,001d000001XtjhPAAR,2,,(806) 640-4477,3000,30,,500,,,0.25,0.5,,,,,005d0000003FCyNAAW,1.83,,,FALSE,FALSE,012d0000000OFTVAA4,Texas,0,,,1,,,4,Friona,USA,79035,TX,1975 CR 14,,,,,,,1,12/19/2018 10:47,1,,,FALSE,1,Ship-To,,,,,1.00521E+11,100521,100691,,1,FALSE,,,,
