carrier__c,carrier_name__c,driver__c,starttime,endtime,trailer_branding__c
001d000001hsx0wAAA,Integrity Ag,0030V00003izAOGQA2,10/7/2018 16:45,10/7/2018 23:47,Sweet Bran
001d000001hsx0hAAA,HS Farms Ltd. - Carrier,003d000002fXppBAAS,10/7/2018 14:41,10/7/2018 23:39,Sweet Bran
001d000001hsx0wAAA,Integrity Ag,003d000002uLgRGAA0,10/7/2018 2:14,10/7/2018 10:24,OneTrak
001d000001hsx1VAAQ,P&P Delco,003d0000028kMnLAAU,10/7/2018 10:37,10/7/2018 23:35,OneTrak
001d000001hsx1LAAQ,Texas Agri-Plex,003d000002TRkD2AAL,10/7/2018 6:07,10/7/2018 23:32,RAMP
001d000001hsx1LAAQ,Texas Agri-Plex,0030V00003N7zaqQAB,10/7/2018 16:54,10/7/2018 23:31,Sweet Bran
001d000001hsx1LAAQ,Texas Agri-Plex,0030V00003jtZCuQAM,10/7/2018 11:19,10/7/2018 23:29,Sweet Bran
001d000001hsx1LAAQ,Texas Agri-Plex,0030V00003N99HQQAZ,10/7/2018 5:53,10/7/2018 23:22,OneTrak
001d000001tnt4nAAA,O C Trucking Incorporated,003d000002YEi26AAD,10/7/2018 19:08,10/7/2018 23:21,OneTrak
001d000001hsx1VAAQ,P&P Delco,0030V00003N7vaZQAR,10/7/2018 1:38,10/7/2018 6:46,RAMP
001d000001hsx1VAAQ,P&P Delco,003d000002xz3iIAAQ,10/7/2018 19:00,10/7/2018 23:03,Sweet Bran
001d000001hsx0wAAA,Integrity Ag,0030V00003c32CxQAI,10/7/2018 2:10,10/7/2018 9:59,Sweet Bran
001d000001hsx0wAAA,Integrity Ag,003d0000028kO89AAE,10/7/2018 17:31,10/7/2018 22:57,OneTrak
001d000001hsx1LAAQ,Texas Agri-Plex,0030V00003izGipQAE,10/7/2018 5:26,10/7/2018 22:53,OneTrak
001d000001hsx0wAAA,Integrity Ag,0030V00003e65UqQAI,10/7/2018 18:49,10/7/2018 22:52,RAMP
001d000001hsx1VAAQ,P&P Delco,003d0000028kMtsAAE,10/7/2018 10:13,10/7/2018 22:46,Sweet Bran
001d000001hsx0wAAA,Integrity Ag,003d000003AloKlAAJ,10/7/2018 1:03,10/7/2018 7:24,Sweet Bran
001d000001hsx1LAAQ,Texas Agri-Plex,003d000002TPOedAAH,10/7/2018 11:33,10/7/2018 22:44,OneTrak
001d000001hsx1LAAQ,Texas Agri-Plex,0030V00003N68E2QAJ,10/7/2018 1:13,10/7/2018 7:13,OneTrak
001d000001hsx1VAAQ,P&P Delco,0030V00003c58SrQAI,10/7/2018 12:27,10/7/2018 22:34,RAMP
001d000001hsx1uAAA,JDR Farms Trucking LLC,0030V00003ixkGjQAI,10/7/2018 11:37,10/7/2018 22:14,Sweet Bran
001d000001hsx1VAAQ,P&P Delco,0030V00003JwkJrQAJ,10/7/2018 5:48,10/7/2018 22:12,Sweet Bran
001d000001hsx1VAAQ,P&P Delco,0030V00003e5rhVQAQ,10/7/2018 13:03,10/7/2018 22:00,OneTrak
001d000001hsx0wAAA,Integrity Ag,003d0000028kNMuAAM,10/7/2018 3:50,10/7/2018 22:00,OneTrak
001d000001hsx0wAAA,Integrity Ag,0030V00003iC5RnQAK,10/7/2018 19:07,10/7/2018 21:59,RAMP
001d000001hsx0XAAQ,Big River Trucking Inc.,0030V00003gmnbFQAQ,10/7/2018 13:23,10/7/2018 21:54,Sweet Bran
001d000001hsx0wAAA,Integrity Ag,0030V00003e54iZQAQ,10/7/2018 3:52,10/7/2018 18:37,OneTrak
001d000001hsx0wAAA,Integrity Ag,0030V00003dMaBXQA0,10/7/2018 19:02,10/7/2018 21:38,Sweet Bran
001d000001hsx1VAAQ,P&P Delco,0030V00003XjS1RQAV,10/7/2018 17:17,10/7/2018 21:29,Sweet Bran
001d000001hsx0wAAA,Integrity Ag,003d0000028kONRAA2,10/7/2018 11:46,10/7/2018 21:25,OneTrak
001d000001hsx1VAAQ,P&P Delco,003d0000028kMjiAAE,10/7/2018 13:06,10/7/2018 21:23,OneTrak
001d000001hsx1LAAQ,Texas Agri-Plex,003d000002fYP6aAAG,10/7/2018 14:57,10/7/2018 21:19,RAMP
001d000001hsx0wAAA,Integrity Ag,0030V00003Rh9qVQAR,10/7/2018 9:24,10/7/2018 21:15,Sweet Bran
001d000001hsx1uAAA,JDR Farms Trucking LLC,0030V00003gq2n4QAA,10/7/2018 11:37,10/7/2018 21:12,Sweet Bran
001d000001hsx0wAAA,Integrity Ag,0030V00003N7nSlQAJ,10/7/2018 12:05,10/7/2018 21:04,OneTrak
001d000001hsx1VAAQ,P&P Delco,003d0000028kMoTAAU,10/7/2018 11:18,10/7/2018 20:59,OneTrak
