customer_name__c,non_medicated_yard__c,grade_family__c,grade_name__c,miles_round_trip__c,avg_mph__c,plant_name,feed_day_start__c,feed_day_end__c,unique_customer_id
Kelly Hills Dairy Inc.,FALSE,OneTrak,T6082,144,45,Blair,500,1400,001d000001iSxhXAAS
V. Hansen Land and Cattle Co.,FALSE,SB Plus,V5012,19,45,Blair,700,1500,001d000000GxWp0AAF
Rottinghaus Family Dairy Inc.,FALSE,OneTrak,T6007,136,45,Blair,500,1400,001d000000GxWs3AAF
Linn Willow Creek Dairy LLC,FALSE,OneTrak,T6025,179,45,Blair,500,1400,001d000000GxWslAAF
"Highland Feeders, Inc.",FALSE,SB Plus,V5015,119,45,Blair,600,1800,001d000000GxWtOAAV
"Schechinger Farms, Inc.",FALSE,Sweet Bran,SB60,48,45,Blair,700,1700,001d000000GxWqhAAF
"Klug, James",FALSE,Sweet Bran,SB60,70,45,Blair,700,1700,001d000000GxWt5AAF
"Faria Brothers Dairies, LLC",FALSE,Sweet Bran,SB60,28,55,Dalhart,500,1400,001d000000GxX0vAAF
McClain Feedyard,FALSE,Sweet Bran,SB60,38,55,Bovina,600,1600,001d000000GxWwyAAF
Boer Dairy,FALSE,OneTrak,T7045,14,55,Dalhart,400,1500,001d000000GxWylAAF
Stratford Feedyard,FALSE,RAMP,R4000,37,55,Dalhart,500,1500,001d000000GxWvbAAF
Texas Beef Producers Feedyard,FALSE,Sweet Bran,SB60,51,55,Dalhart,500,1500,001d000000GxWx9AAF
Palo Duro Feedyard,FALSE,Sweet Bran,SB60,70,55,Dalhart,600,1600,001d000000GxWxAAAV
Dean Cluck Feedyard-Dimmitt,FALSE,SB Plus,V0435,29,55,Bovina,600,1800,001d000000GxWvsAAF
Wolf Creek Feedyard,FALSE,RAMP,R4000,117,55,Dalhart,600,1430,001d000000GxWvcAAF
Hale Center Feedyard,FALSE,RAMP,R4000,76,55,Bovina,500,1500,001d000000GxWu6AAF
Berry Cattle LLC,FALSE,Sweet Bran,SB60,65,55,Bovina,600,1600,001d000000HbMv3AAF
Hartley Feeders,FALSE,RAMP,R3000,20,55,Dalhart,500,1400,001d000000JTa1eAAD
XIT Feeders,FALSE,Sweet Bran,SB60,13,55,Dalhart,500,1330,001d000000GxWw9AAF
Faria Dumas Dairy,FALSE,Sweet Bran,SB60,36,55,Dalhart,500,1400,001d000000GxWzDAAV
Faria Etter Dairy,FALSE,Sweet Bran,SB60,31,55,Dalhart,500,1400,001d000000GxWzIAAV
Grant County Feeders,FALSE,RAMP,R3000,153,55,Dalhart,700,1400,001d000000GxWwJAAV
"Tejas Feeders, Ltd.",FALSE,SB Plus,V0450,154,55,Bovina,600,1800,001d000000JTa3KAAT
Faria Brothers Hartley,FALSE,Sweet Bran,SB60,15,55,Dalhart,500,1400,001d00000227fHeAAI
Centerfire Feedyard,FALSE,RAMP,R4000,146,55,Dalhart,500,1500,001d0000024IYakAAG
Dalhart Cattle Feeders,FALSE,Sweet Bran,SB60,16,55,Dalhart,600,1800,001d0000026wgrvAAA
Hansford County Feeders LP,TRUE,RAMP,R3000,84,55,Dalhart,600,1600,001d000000GxWxTAAV
C & B Feeders Inc.,FALSE,Sweet Bran,SB60,61,55,Dalhart,600,1600,001d000000GxWmoAAF
Randall County Feedyard,FALSE,Sweet Bran,SB60,68,55,Bovina,500,1500,001d000000GxWu3AAF
"Bovina Feeders, Inc.",TRUE,SB Plus,V0445,27,55,Bovina,500,1500,001d000000GxWvWAAV
Southwest Feedyard,FALSE,RAMP,R4000,43,55,Bovina,515,1430,001d000000GxWu7AAF
Cactus Feedyard,FALSE,RAMP,R4000,34,55,Dalhart,700,1500,001d000000GxWvgAAF
Wrangler Feedyard,FALSE,RAMP,R4000,74,55,Bovina,500,1500,001d000000GxWu8AAF
"Seedstock Investments, Inc.",FALSE,Sweet Bran,SB60,39,55,Bovina,600,1600,001d000000GxWtgAAF
Frontier Feedyard,FALSE,SB Plus,V0225,97,55,Dalhart,500,1500,001d000000GxWvfAAF
Hammink Dairy LLC,FALSE,OneTrak,781,229,45,Blair,400,1400,001d000000GxX2xAAF
"Klug, Bill",FALSE,SB Plus,V5020,73,45,Blair,600,1800,001d000000GxWq0AAF
Ohlde Dairy LLC,FALSE,OneTrak,T6015,175,45,Blair,500,1400,001d000000GxWsIAAV
Amsberry Farms LTD,FALSE,Sweet Bran,SB60,187,45,Blair,700,1700,001d000000GxX1vAAF
Kansas State University,TRUE,Sweet Bran,SB60,212,45,Blair,600,1800,001d000000GxWzPAAV
