plant_serves_customer,customer_name__c,non_medicated_yard__c,gps_customer_check_in_location__latitude__s,gps_customer_check_in_location__longitude__s,grade_family__c,grade_name__c,miles_round_trip__c,avg_mph__c,plant_name,prod_delivery_name,feed_day_start__c,feed_day_end__c,inventory_maximum__c,inventory_minimum__c,inventory_target__c,unique_customer_id,product_delivery_location__c_id,,gps_lat
1,Kelly Hills Dairy Inc.,FALSE,39.7582,-95.9761,OneTrak,T6082,144,45,Blair,PDL-0687,500,1400,54,12,44,001d000001iSxhXAAS,a0fd000000MVi4OAAT,,
1,V. Hansen Land and Cattle Co.,FALSE,41.7132,-96.2623,SB Plus,V5012,19,45,Blair,PDL-0537,700,1500,100,31,50,001d000000GxWp0AAF,a0fd000000JdGDCAA3,,
1,Rottinghaus Family Dairy Inc.,FALSE,39.8705,-96.0253,OneTrak,T6007,136,45,Blair,PDL-0395,500,1400,40,4,32,001d000000GxWs3AAF,a0fd000000I0CkyAAF,,
1,Linn Willow Creek Dairy LLC,FALSE,39.7076,-97.1057,OneTrak,T6025,179,45,Blair,PDL-0215,500,1400,94,24,63,001d000000GxWslAAF,a0fd000000Ey0TVAAZ,,
1,"Highland Feeders, Inc.",FALSE,41.4657,-98.0045,SB Plus,V5015,119,45,Blair,PDL-0308,600,1800,50,26,45,001d000000GxWtOAAV,a0fd000000F1SaPAAV,,
1,"Schechinger Farms, Inc.",FALSE,41.6971,-95.3817,Sweet Bran,SB60,48,45,Blair,PDL-0527,700,1700,84,11,54,001d000000GxWqhAAF,a0fd000000Jd3PvAAJ,,
1,"Klug, James",FALSE,41.4519,-97.2725,Sweet Bran,SB60,70,45,Blair,PDL-0208,700,1700,80,8,49,001d000000GxWt5AAF,a0fd000000Ey0TOAAZ,,
1,"Faria Brothers Dairies, LLC",FALSE,36.0302,-102.0865,Sweet Bran,SB60,28,55,Dalhart,PDL-0420,500,1400,500,198,300,001d000000GxX0vAAF,a0fd000000HWLNtAAP,,
1,McClain Feedyard,FALSE,34.8694,-102.5107,Sweet Bran,SB60,38,55,Bovina,PDL-0225,600,1600,60,14,45,001d000000GxWwyAAF,a0fd000000Ey0TfAAJ,,
1,Boer Dairy,FALSE,36.2319,-102.5228,OneTrak,T7045,14,55,Dalhart,PDL-0150,400,1500,82.5,29,70,001d000000GxWylAAF,a0fd000000Ey0SSAAZ,,
1,Stratford Feedyard,FALSE,36.315,-102.0308,RAMP,R4000,37,55,Dalhart,PDL-0409,500,1500,250,164,150,001d000000GxWvbAAF,a0fd000000HWLL4AAP,,
1,Texas Beef Producers Feedyard,FALSE,35.9309,-101.8101,Sweet Bran,SB60,51,55,Dalhart,PDL-0271,500,1500,375,141,180,001d000000GxWx9AAF,a0fd000000Ey0UPAAZ,,
1,Palo Duro Feedyard,FALSE,36.1318,-101.438,Sweet Bran,SB60,70,55,Dalhart,PDL-0245,600,1600,259,102,113.2,001d000000GxWxAAAV,a0fd000000Ey0TzAAJ,,
1,Dean Cluck Feedyard-Dimmitt,FALSE,34.534,-102.4059,SB Plus,V0435,29,55,Bovina,PDL-0614,600,1800,300,114,200,001d000000GxWvsAAF,a0fd000000LMViqAAH,,
1,Wolf Creek Feedyard,FALSE,36.285,-100.6827,RAMP,R4000,117,55,Dalhart,PDL-0290,600,1430,110,76,80,001d000000GxWvcAAF,a0fd000000Ey0UiAAJ,,
