customer_in_new_file,unique_customer_id,customer_name__c,check_out_customer__c,grade_family__c,grade_name__c,avg_net_weight,daily_loads,current_inventory,productusage,product_delivery_location__c_id
1,0010V00002C33JzQAJ,"Green Plains Cattle Company, LLC",12/19/2018 17:00,SB Plus,V0487,54224.21429,2,113.9497399,79.97600786, 
1,0010V00002C4S8uQAF,W Diamond Dairy,12/19/2018 14:31,OneTrak,T7110,48348.54271,2,93.06502359,36.06937165,a0f0V00000Qc2BpQAJ
1,0010V00002C5ct8QAB,Monty Cates - Valley View,12/16/2018 15:32,SB Plus,V0525,51930,1,32.45625,2.839921875, 
1,0010V00002DDkIrQAL,Milk Time Dairy,12/19/2018 10:36,OneTrak,T7995,49721.6129,1,67.83486546,22.53376252,a0f0V00000QcmVQQAZ
1,0010V00002DFN9hQAH,Faria Southside 2,12/19/2018 13:00,Sweet Bran,SB60,54475.2568,2,147.8783919,47.06422312,a0f0V00000QfH8tQAF
1,0010V00002GrJrLQAV,Osterkamp Dairy East,12/18/2018 7:27,OneTrak,T7105,54532.78351,2,71.59345932,51.9831794,a0f0V00000Q3vTlQAJ
1,0010V00002IY3iRQAT,Roorda Dairy LLC,12/19/2018 16:32,OneTrak,T6115,60172.25335,1,82.28346554,51.43035417,a0f0V00000QbMnOQAV
1,0010V00002IYbVjQAL,James Pudenz-Home,12/17/2018 15:43,SB Plus,V5102,59735.38462,1,135.6279726,15.38125859, 
1,0010V00002IYbX6QAL,Schon Lot-James Pudenz Acct,12/19/2018 16:07,SB Plus,V5102,59505.45455,1,47.87882082,10.5467345, 
1,0010V00002IaKHwQAN,Adcock Family Ltd Partnership-Infinity Cattle Co,12/18/2018 14:27,SB Plus,V0055,51839.13043,1,41.89851191,3.343754659,a0f0V00000QcyNMQAZ
1,0010V00002IaNJNQA3,Mathews Dairy-West,12/19/2018 14:59,OneTrak,T7090,50235,2,100.0731406,55.31995263, 
1,0010V00002IawzcQAB,Van Ess Legacy Dairy,12/19/2018 17:15,OneTrak,T6130,60391.5625,1,84.56562747,43.22688755,a0f0V00000QmNuEQAV
1,0010V00002Iax51QAB,Carter Creek Cattle LLC,12/16/2018 19:19,Sweet Bran,SB60,50709.64706,1,38.80900107,8.149952413,a0f0V00000QdLkHQAV
1,0010V00002JaulwQAB,Leslies Dairy,12/19/2018 14:17,OneTrak,T7995,53524.57143,1,45.95022478,6.040055821,a0f0V00000PTRMtQAP
1,0010V00002JayIQQAZ,Sunrise Farms Hartley,12/19/2018 6:22,OneTrak,T7190,53698.04878,2,140.5014467,58.14023087, 
1,0010V00002JbMVDQA3,Potter Feedlot - Perico,12/19/2018 8:00,Sweet Bran,SB60,54655.625,1,34.1385614,6.463396788,a0f0V00000PTk5QQAT
1,0010V00002K8hHnQAJ,Iowa State University-ISU Beef Nutrition Research Unit,12/12/2018 16:34,Sweet Bran,SB60,59791.42857,1,33.12361426,2.566726109,a0f0V00000Rp0rlQAB
1,0010V00002KfdtNQAR,"Tierra Blanca Cattle Feeders,LP",12/17/2018 23:15,RAMP,R3000,54719.6875,2,89.74885272,21.60408244,a0f0V00000QmbXSQAZ
1,0010V00002KfdtNQAR,"Tierra Blanca Cattle Feeders,LP",12/19/2018 17:56,SB Plus,V0450,53812.08633,2,281.5679914,77.18476777, 
1,0010V00002Lx0XJQAZ,J-Lu Dairy,12/19/2018 17:40,OneTrak,T7995,49708,1,86.99297954,40.45061712, 
1,0010V00002Lxp7KQAR,"Pudenz Family Partners, Inc.",12/16/2018 16:17,SB Plus,V5140,59590.76923,1,44.52396535,10.87467396, 
1,0010V00002LxwVdQAJ,"E&K Feeders, Inc.",12/19/2018 17:52,SB Plus,V5135,59748.8,1,64.83886976,29.57195282, 
